participant_id,session_date,exercise,load_kg,load_percent_1rm,rep_number,mean_concentric_velocity,peak_velocity,duration_concentric,range_of_motion,peak_force,mean_power,rate_of_force_development,technique_rating,data_quality,measurement_device,sampling_rate,calibration_status
P001,2025-07-12T17:54:25.120146,squat,53.158428094160286,50,1,1.0233240863088962,1.2522841622317404,1.0857239668491716,0.5760733729802316,521.4841796037124,533.6473216175133,1601.033643683508,6.409960789845119,0.9762387330129194,Linear Position Transducer,1000,passed
P001,2025-07-17T17:54:25.120553,squat,53.158428094160286,50,2,0.9926243637196293,1.2879484597139192,1.0936365179563543,0.640601959858292,521.4841796037124,517.6379019689879,1589.4500321983705,8.677663121251795,0.9757117219206806,Linear Position Transducer,1000,passed
P001,2025-07-22T17:54:25.120617,squat,53.158428094160286,50,3,0.9619246411303624,1.1654690253615456,1.0911234550949633,0.6588738071767893,521.4841796037124,501.62848232046247,1593.1108350408929,7.579205138062157,0.9506632480579933,Linear Position Transducer,1000,passed
P001,2025-07-27T17:54:25.120646,squat,74.42179933182439,70,1,0.86114902005402,1.0805321488648536,1.3329308685499703,0.6387825202114393,730.0778514451973,628.7058263351761,1825.7457273819784,8.073445279946764,0.9842116513256078,Linear Position Transducer,1000,passed
P001,2025-07-15T17:54:25.120668,squat,74.42179933182439,70,2,0.8353145494523995,1.0014773162536215,1.1676489227204958,0.6073080956926011,730.0778514451973,609.8446515451209,2084.18197524702,8.095577710143898,0.969553030378662,Linear Position Transducer,1000,passed
P001,2025-07-25T17:54:25.120687,squat,74.42179933182439,70,3,0.8094800788507788,1.0347629513465313,1.0591093099246818,0.5397648556942014,730.0778514451973,590.9834767550655,2297.7730583104044,7.817506678394345,0.9592427227762763,Linear Position Transducer,1000,passed
P001,2025-07-08T17:54:25.120707,squat,90.36932776007248,85,1,0.6716760655828601,0.845350280622344,1.1768703435223518,0.6259117043528569,886.5231053263111,595.4563514338761,2510.9622602179593,6.617182407706058,0.9793375582831924,Linear Position Transducer,1000,passed
P001,2025-07-16T17:54:25.120725,squat,90.36932776007248,85,2,0.6515257836153743,0.7909573764214503,1.2192832958060515,0.6835281684478115,886.5231053263111,577.5926608908599,2423.6180614619257,7.037577768626798,0.9537275321839885,Linear Position Transducer,1000,passed
P001,2025-07-24T17:54:25.120749,squat,90.36932776007248,85,3,0.6313755016478885,0.7561393856915022,1.3164245589426078,0.7210198767674686,886.5231053263111,559.7289703478435,2244.7750595962584,8.515465864087009,0.9963150439256674,Linear Position Transducer,1000,passed
P001,2025-07-28T17:54:25.120769,squat,95.68517056948852,90,1,0.5976486551468139,0.766851491377967,1.2482244325174259,0.6365435929520732,938.6715232866824,560.9957735168969,2506.6846923608778,8.63181491640362,0.9531779175143011,Linear Position Transducer,1000,passed
P001,2025-07-02T17:54:25.120788,squat,95.68517056948852,90,2,0.5797191954924095,0.6925808133117173,0.9607586751838658,0.7150020657915359,938.6715232866824,544.16590031139,3256.702394098579,8.784992022856658,0.978062171292385,Linear Position Transducer,1000,passed
P001,2025-07-06T17:54:25.120808,squat,95.68517056948852,90,3,0.561789735838005,0.7114180843992076,1.1837762091682624,0.6874235802610522,938.6715232866824,527.336027105883,2643.155905135724,8.288897880535407,0.9885483589977281,Linear Position Transducer,1000,passed
P001,2025-07-25T17:54:25.120828,squat,101.00101337890453,95,1,0.6728395886584613,0.8100857172887485,1.1202723219969597,0.6451308730020203,990.8199412470535,666.6628817032682,2948.152045390926,6.464999633126878,0.9953783236963046,Linear Position Transducer,1000,passed
P001,2025-07-22T17:54:25.120846,squat,101.00101337890453,95,2,0.6526544009987074,0.8498373383514259,1.093116709265299,0.5303956903348531,990.8199412470535,646.6629952521702,3021.3911373745245,6.968593337041663,0.9644875726456884,Linear Position Transducer,1000,passed
P001,2025-07-17T17:54:25.120864,squat,101.00101337890453,95,3,0.6324692133389536,0.8141052412035964,1.300289666304961,0.7426549322345622,990.8199412470535,626.6631088010721,2539.9979889677734,7.8056934960450235,0.9708254973935183,Linear Position Transducer,1000,passed
P001,2025-06-29T17:54:25.120884,bench,38.709848430105055,50,1,0.9806657623908837,1.208960802670158,1.3501571771178842,0.6237899853377598,379.7436130993306,372.4015598531238,937.5293966636564,7.810721556601337,0.9555025962263838,Linear Position Transducer,1000,passed
P001,2025-07-22T17:54:25.120902,bench,38.709848430105055,50,2,0.9512457895191572,1.1704076754137915,0.9072970103735762,0.6736896221651661,379.7436130993306,361.2295130575301,1395.1462742539425,8.708844217743911,0.958232792657147,Linear Position Transducer,1000,passed
P001,2025-07-05T17:54:25.120938,bench,38.709848430105055,50,3,0.9218258166474306,1.091904952708913,1.788732683296257,0.5622987363774916,379.7436130993306,350.0574662619364,707.6585872696254,9.23190745754081,0.997145485195626,Linear Position Transducer,1000,passed
P001,2025-07-12T17:54:25.120960,bench,54.19378780214707,70,1,0.6472751682147749,0.7436442483400927,1.0113886383065473,0.7623166990927435,531.6410583390627,344.1180554662978,1752.1818952776118,8.085159356390687,0.9574043464976699,Linear Position Transducer,1000,passed
P001,2025-07-28T17:54:25.120978,bench,54.19378780214707,70,2,0.6278569131683317,0.7322850691536287,1.1871243898398065,0.6775921868035784,531.6410583390627,333.79451380230887,1492.7979547024097,8.035930131718008,0.9619780945333486,Linear Position Transducer,1000,passed
P001,2025-07-02T17:54:25.120996,bench,54.19378780214707,70,3,0.6084386581218884,0.7532050724826159,1.1930576460589513,0.5565057569904375,531.6410583390627,323.4709721383199,1485.3740445687101,9.014258251612016,0.9621079969138713,Linear Position Transducer,1000,passed
P001,2025-07-13T17:54:25.121015,bench,65.8067423311786,85,1,0.43118674173131455,0.5360235241368688,1.4802643129387247,0.6463677875770532,645.564142268862,278.35869908348144,1453.713674929767,7.973549380929874,0.9899172562492276,Linear Position Transducer,1000,passed
P001,2025-07-01T17:54:25.121033,bench,65.8067423311786,85,2,0.4182511394793751,0.5234015559774261,0.9605825873323394,0.7131738243800538,645.564142268862,270.00793811097697,2240.1826793525247,8.145191570610434,0.9838782180921141,Linear Position Transducer,1000,passed
P001,2025-07-09T17:54:25.121051,bench,65.8067423311786,85,3,0.40531553722743563,0.5068297388046074,1.1268921406334913,0.7019269386103285,645.564142268862,261.6571771384725,1909.5709310918112,6.821701170659754,0.9970261632244802,Linear Position Transducer,1000,passed
P001,2025-06-29T17:54:25.121070,bench,69.6777271741891,90,1,0.333281608471238,0.37544675007958156,1.296395827800579,0.7241165086896257,683.5385035787951,227.81081192476393,1757.5354916573162,7.029934886589508,0.9847892199672541,Linear Position Transducer,1000,passed
